id,name,charge,currency,show_name
1,月卡,490,NT$,月卡
2,小月卡,170,NT$,小月卡
3,週卡,33,NT$,週卡
4,250鑽石禮包,170,NT$,鑽石禮包
5,500鑽石禮包,330,NT$,鑽石禮包
6,1000鑽石禮包,670,NT$,鑽石禮包
7,2500鑽石禮包,1690,NT$,鑽石禮包
8,5000鑽石禮包,3290,NT$,鑽石禮包
9,24級等級禮包,70,NT$,24級等級禮包
10,32級等級禮包,170,NT$,32級等級禮包
11,48級等級禮包,330,NT$,48級等級禮包
12,58級等級禮包,990,NT$,58級等級禮包
13,78級等級禮包,1690,NT$,78級等級禮包
14,4星戰姬召喚禮包,170,NT$,4星戰姬召喚禮包
15,5星戰姬召喚禮包,330,NT$,5星戰姬召喚禮包
16,月禮包1,170,NT$,月禮包
17,月禮包2,330,NT$,月禮包
18,月禮包3,990,NT$,月禮包
19,月禮包4,1690,NT$,月禮包
20,月禮包5,2290,NT$,月禮包
89,月禮包7,3290,NT$,月禮包
22,週禮包1,330,NT$,週禮包
23,週禮包2,670,NT$,週禮包
24,週禮包3,1690,NT$,週禮包
25,週禮包4,2290,NT$,週禮包
26,超值禮包1,3290,NT$,超值禮包
27,超值禮包2,2290,NT$,超值禮包
28,超值禮包3,990,NT$,超值禮包
29,超值禮包4,330,NT$,超值禮包
30,超值禮包5,170,NT$,超值禮包
31,超值禮包1,3290,NT$,超值禮包
32,超值禮包2,2290,NT$,超值禮包
33,超值禮包3,990,NT$,超值禮包
34,超值禮包4,670,NT$,超值禮包
36,超值禮包5,170,NT$,超值禮包
69,超值禮包6,170,NT$,超值禮包
35,免費儲值定制禮包,60,NT$,免費儲值定制禮包
37,限時5星特惠禮包,70,NT$,限時5星特惠禮包
38,訂閱,33,NT$,訂閱服務
39,黑五至尊卡,670,NT$,3週年慶典賀卡
40,週訂閱,33,NT$,週訂閱服務
41,月訂閱,120,NT$,月訂閱服務
42,季訂閱,330,NT$,季訂閱服務
43,月禮包1,170,NT$,月禮包
44,月禮包2,330,NT$,月禮包
45,月禮包3,990,NT$,月禮包
46,月禮包4,1690,NT$,月禮包
47,月禮包5,2290,NT$,月禮包
48,月禮包6,2690,NT$,月禮包
49,周禮包1,330,NT$,周禮包
50,周禮包2,670,NT$,周禮包
51,周禮包3,1690,NT$,周禮包
52,周禮包4,2290,NT$,周禮包
53,週訂閱,33,NT$,週訂閱服務
54,月訂閱,120,NT$,月訂閱服務
55,季訂閱,330,NT$,季訂閱服務
56,特惠禮包1,170,NT$,特惠禮包
57,特惠禮包1,170,NT$,特惠禮包
65,特惠禮包2,1690,NT$,特惠禮包
58,7日免費,0,NT$,7日免費訂閱服務
59,7日免費,0,NT$,7日免費訂閱服務
60,7日免費,0,NT$,7日免費訂閱服務
61,7日免費,0,NT$,7日免費訂閱服務
